,Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches,Term ID,English term,Description,Sanskrit (IAST),Sanskrit
59,381,384,ba,rasavaishamyam,rasavaiṣamyam,रसवैषम्यम्,,,,ITA-5.3.2,"Derangement of
primary circulating
nutrient fluid",,rasavaiṣamyam,िसर्ैषमयम्
60,382,385,sr42(ba-1),rasakshayah,rasakṣayaḥ,रसक्षयः,,"it is characterized by shaking, intolerance to hearing loud noises, palpitation of heart, palpitation on little exertion, body pain, precordial pain, cardiac pain, tremors, absence of mind, feeling of emptiness in body, thirst, dryness, wasting, emaciation, palpitation, tiredness on little exertion, dyspnoea on exertion, dryness, fatigue in mind and body. (a) this may be explained by morbid decrease of circulating fluid.",,ITA-5.3.3,"Diminution of primary
circulating nutrient
fluid","A disorder characterized by some or all the following signs
and symptoms: shaking; intolerance of high frequency
sounds; sharp pain; palpitation on minor exertion; precordial
pain/cardiac pain; tremors; absence of alertness; thirst;
dryness/wasting/emaciation; palpitations; tiredness on minor
exertion/dyspnoea on exertion; dryness; fatigued
mind and body.",rasakṣayaḥ,िसक्षयः
61,383,386,sr41(ba-2),rasavruddhih,rasavṛddhiḥ,रसवृद्धिः,,"it is characterised by nausea, excessive salivation, tastelessness, distaste of mouth, obstruction in channels, aversion to eating sweet food, generalised body ache, white discolouration, coldness, obesity, lethargy, heaviness, exhaustion, tiredness, obstruction to flow of primary product of digested food, syncope, attacks of swooning, excessive sleep, drowsiness, lassitude, breathlessness, cough, loosening and dislocation of joints, flaccidity, laxity in body parts, diminution of digestive power, loss of appetite associated with gasping and bloating. (a) this may be explained by morbid increase of circulating fluid.",,ITA-5.3.4,"Aggravation or
morbid increase of
primary circulating
nutrient fluid","A disorder characterized by some or all the following signs
and symptoms: nausea; excessive salivation; loss of taste;
unpleasant taste in mouth; nausea; aversion to sweet food;
generalized body aches; diseases caused by kapha; white
discoloration; coldness; obesity; lethargy; heaviness; bodily
exhaustion or tiredness/inability to perform physical activities;
obstruction in srotas/obstruction to flow of primary circulating
nutrient fluid (rasa); syncope or swooning; excessive sleep;
drowsiness/lassitude; breathlessness/difficulty in breathing;
cough; diminution of agni; loosening/dislocation of joints;
flaccidity/laxity in body parts.",rasavṛddhiḥ,िसर्ृवद्ः
62,384,387,bb,raktavaishamyam,raktavaiṣamyam,रक्तवैषम्यम्,,,,ITA-5.3.5,Disproportion of blood,Changes in the normal quantity and quality of blood.,raktavaiṣamyam,ि्तर्ैषमयम्
63,385,388,sr44(bb-1),raktakshayah,raktakṣayaḥ,रक्तक्षयः,,"it is characterized by rough, dry , cracked, faded, lusterless skin, desire for sour taste, cold, laxity of vessels, tortuous vesselsm, pallor, tiredness, burning sensation over the feet and lassitude. (a) this may be explained by morbid decrease of blood.",,ITA-5.3.6,Diminution of blood,"A disorder characterized by some or all the following signs
and symptoms: rough/dry skin; cracked skin; faded skin/
lustreless skin; praying for/desire for/liking of sour taste;
praying/desire/liking for cold; laxity of vessels/tortuous
vessels; dryness.",raktakṣayaḥ,ि्तक्षयः
64,386,389,sr43(bb-2),raktavruddhih,raktavṛddhiḥ,रक्तवृद्धिः,,"it is characterised by redness of the skin, body parts, reddish coloured eyes, the fullness of blood vessels, skin disease, spreading cellulitis, erysipelas, boils, eruptions, irregular or excessive menstruation, redness and inflammation of eyes, mouth, penis, anus, gums, splenomegaly, abdominal lump, abscess, blackish patches on the face, jaundice, polyarthritis, unconsciousness, confusion, urine with blood, bleeding, throbbing pain, anorexia and colic pain. (a) this may be explained by morbid incerease of blood.",,ITA-5.3.7,"Morbid increase
of blood","A disorder characterized by some or all the following signs
and symptoms: redness of skin/body parts; reddish-coloured
eyes; fullness of blood vessels; skin disease; spreading
cellulitis/erysipelas; papules/eruptions; irregular or excessive
menstruation; redness/inflammation of eyes/conjunctivitis;
redness/inflammation of mouth/stomatitis; redness/
inflammation of penis/balanitis; redness/inflammation of anus/
proctitis; plīha; palpable glandular enlargement in abdomen/
abdominal lump; abscess; blackish patches on face; clinical
features of jaundice; loss of agni; feeling of entering into
darkness; clinical features of vātarakta; diseases caused by
pitta; unconsciousness/confusion; urine with blood/blood-
coloured urine/haematuria; clinical features of raktapitta;
inflammation of gums/gingivitis; clinical features of jaundice.",raktavṛddhiḥ,ि्तर्ृवद्ः
65,395,398,sr48(bd-1),medahkshayah,medaḥkṣayaḥ,मेदःक्षयः,,"it is characterized by breaking, splitting type of pain, fatigue in mind and body, eye stress, sunken abdomen, splenomegaly, hollowness felling in joints, dryness of body parts, desire for fatty meat, numbness in low back, emaciation, exhaustion, fatigue, dryness, wasting, emaciation, signs symptoms of depletion of māṃsa and weakness of muscles in the loin. (a) this may be explained by morbid decrease of fat tissue.",,ITA-5.3.16,Diminution of fat,"A disorder characterized by some or all the following signs
and symptoms: breaking/splitting type of pain; fatigued mind
and body; eye stress; sunken abdomen; splenomegaly;
hollow feeling in joints; dryness of body parts; desire for fatty
meat; numbness in low back; emaciation; exhaustion/fatigue;
dryness/wasting/emaciation; signs and symptoms of māṃsa
depletion.",medaḥkṣayaḥ,मेदःक्षयः
66,396,399,sp62(bd-2),medovruddhih,medovṛddhiḥ,मेदोवृद्धिः,,"it is characterised by generalized increase of fatty tissue in the body and may be associated with hyperlipidemia. this may be explained by: (a) impaired digestive and metabolic factors related to fat tissue, deranged vata, kapha",,ITA-5.3.17,Morbid increase of fat,"A disorder characterized by some or all the following signs
and symptoms: unctuousness of body parts; pendulous fatty
enlargement of abdomen; fatty deposition in flanks; cough;
difficulty in breathing/dyspnoea on minor exertion; bad odour;
prodromal signs of prameha; complications of obesity;
diseases of kapha and rakta; signs and symptoms of
enlargement/hypertrophy of māṃsa; exhaustion/fatigue;
pendulous fatty enlargement of hips; pendulous fatty
enlargement of breasts.",medovṛddhiḥ,मेदोर्ृवद्ः
67,398,401,sr4a(be-1),asthikshayah,asthikṣayaḥ,अस्थिक्षयः,,"it is characterized by scalp hair fall, thinning, body hair fall, thinning, nail fall, thinning, beard, moustache fall, thinning, teeth fall, decaying, exhaustion, fatigue, dislocation of joint, lax joints, pain in the bones, gums and tooth, cracked teeth, cracked nail, dryness, roughness, dryness, pricking type of pain in the bones, desire to eat bony-meat. (a) this may be explained by morbid decrease bone tissue.",,ITA-5.3.19,Diminution of bone,"A disorder characterized by some or all the following signs
and symptoms: scalp hair loss/thinning; body hair loss/
thinning; nail fall/thinning; beard/moustache loss/thinning;
tooth loss/decay; exhaustion/fatigue; joint dislocation/laxity;
bone pains; cracked teeth; cracked nails; dryness; roughness/
dryness; pricking type of bone pains; desire to eat bony meat.",asthikṣayaḥ,अवसरक्षयः
68,399,402,sr49(be-2),asthivruddhih,asthivṛddhiḥ,अस्थिवृद्धिः,,"it is characterized by excessive growth of bones, bone growing over another and excessive growth of teeth, redundant tooth which grows over another. (a) this may be explained by morbid increase bone tissue.",,ITA-5.3.20,"Morbid increase
of bone","A disorder characterized by excessive growth of bones/
overlapping bones; excessive growth of teeth/redundant
overlapping teeth.",asthivṛddhiḥ,अवसरर्ृवद्ः
69,401,404,sr4c(bf-1),majjakshayah,majjākṣayaḥ,मज्जाक्षयः,,"it is characterized by decaying, weakness, lightness, repeatedly affliction with diseases due to vata, less quantity of semen , śukra, breaking type of pain in small joints, pricking, piercing type of pain of the bone, feeling of emptiness in bones, porousness of bones, giddiness or dizziness, black out. (a) this may be explained by morbid decrease in bone marrow tissue.",,ITA-5.3.22,"Diminution of
bone marrow","A disorder characterized by some or all the following signs
and symptoms: decaying of bony tissue; weakness; lightness;
repeated afflictions with vāta roga; reduced quantity of
semen/śukra; breaking type of pain in small joints; pricking/
piercing type of bone pain; feeling of emptiness in bones;
porousness of bones; giddiness/dizziness; blackouts.",majjākṣayaḥ,मज्ाक्षयः
70,402,405,sr4b(bf-2),majjavruddhih,majjāvṛddhiḥ,मज्जावृद्धिः,,"it is characterized by heaviness of the whole body, heaviness and swelling of the eyes, redness of eyes, redness of body, furuncles at the base of small joints ,swollen phalanges, oliguria, and nonhealing ulcers. (a) this may be explained by morbid increase in bone marrow tissue.",,ITA-5.3.23,"Morbid increase of
bone marrow","A disorder characterized by heaviness of the whole body;
heaviness of eyes; redness of eyes; redness of body;
furuncles at the base of small joints.",majjāvṛddhiḥ,मज्ार्ृवद्ः
71,404,407,sr4e(bg-1),sukrakshayah,śukrakṣayaḥ,शुक्रक्षयः,,"it is characterized by weakness or loss of physical strength, dryness of mouth, pallor, pale colour of body parts, exhaustion or tiredness to body and mind, exhaustion, fatigue, inability to perform sexual act, impotence, not able to ejaculate semen, suppression of semen, penile pain, scrotal pain, severe pain in scrotum, inability to perform sexual act, delayed ejaculation, semen with little blood on ejaculation, blackout, pricking type of pain in scrotum, smoky sensation in penis. (a) this may be explained by morbid decrease in reproductive tissue.",,ITA-5.3.25,Diminution of semen,"A disorder characterized by some or all the following signs
and symptoms: weakness or loss of physical strength;
dryness of mouth; pallor/pale colour of body parts;
exhaustion/tiredness of body and mind; inability to perform
sexual act/impotence; inability to ejaculate semen/
suppression of semen; penile pain; scrotal pain/severe scrotal
pain; inability to perform sexual act; delayed ejaculation;
ejaculation of semen along with blood; black-outs; pricking
type of scrotal pain; smoky sensation in penis.",śukrakṣayaḥ,शुरिक्षयः
72,407,410,sr4k(ba-3.1),artavakshayah,ārtavakṣayaḥ,आर्तवक्षयः,,"it is characterized by menstruation not on proper time, metrorrhagia, scanty menstrual flow, pain in vagina. this may be explained by decrease in circulating fluid in turn causing quantitative decrease of menstrual flow.",,ITA-5.3.28,"Diminution of
menstrual flow; or
scanty menstruation","A disorder characterized by irregular menstruation/
metrorrhagia; scanty menstrual flow; pain in vagina.",ārtavakṣayaḥ,आतवार्क्षयः
73,408,411,sr4j(ba-3.2),artavavruddhih,ārtavavṛddhiḥ,आर्तववृद्धिः,,"it is characterized by generalised bodyache, excessive menstrual bleeding, menorrhagia, bad odour. this may be explained by increase in circulating fluid in turn causing quantitative increase of menstrual flow.",,ITA-5.3.29,"Morbid increase of
menstrual flow","A disorder characterized by generalized body aches,
excessive menstrual bleeding/menorrhagia, bad odour
of menses.",ārtavavṛddhiḥ,आतवार्र्ृवद्ः
74,410,413,sn10(ba-4.1),stanyakshayah,stanyakṣayaḥ,स्तन्यक्षयः,,it is characterised by decreased or cessation of secretion of breast milk may be associated with decreased size of the breast. this may be explained by: (a) aggravation of vatadosha and decreased primary product of digested food resulting in reduced breast milk production.,,ITA-5.3.31,"Diminution of
breast milk","A disorder characterized by emaciated breasts/loss of
shapliness of breasts; suppression of lactation; reduced
lactation.",stanyakṣayaḥ,सतनयक्षयः
